position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
31,16,35759060800,Nyhan B.,4,4,2,3,0,,1.516667,true,80052366764|84898753023|85106950513|85114350257,https://www.scopus.com/authid/detail.uri?authorId=35759060800,provisional_query_candidates
32,16,36992198000,Hillen M.A.,4,4,1,3,0,,0.595238,false,85117617145|105000173185|105015422194|105016381894,https://www.scopus.com/authid/detail.uri?authorId=36992198000,provisional_query_candidates
33,16,42161868700,Oksanen A.,4,4,0,4,0,,0.916667,false,85061311427|85076359084|85083720807|85101022632,https://www.scopus.com/authid/detail.uri?authorId=42161868700,provisional_query_candidates
34,16,55433439400,Berg C.J.,4,4,0,4,0,,0.45,false,105036241854|105036248229|105037425945|105040569258,https://www.scopus.com/authid/detail.uri?authorId=55433439400,provisional_query_candidates
35,16,55454468300,Nteta T.M.,4,4,1,3,0,,1.666667,false,84981249322|85011497605|85047444290|85123914954,https://www.scopus.com/authid/detail.uri?authorId=55454468300,provisional_query_candidates
36,16,55489065600,Harris N.,4,4,0,4,0,,1.416667,false,85075461753|85086344797|85134345683|105031376377,https://www.scopus.com/authid/detail.uri?authorId=55489065600,provisional_query_candidates
37,16,55578479500,Aruguete N.,4,4,4,0,0,,0.95,false,85108077988|105000531734|105002151721|105005410949,https://www.scopus.com/authid/detail.uri?authorId=55578479500,provisional_query_candidates
38,16,55684826800,Liang Z.,4,4,0,4,0,,1.166667,false,105020054345|105026787196|105034393757|105046159836,https://www.scopus.com/authid/detail.uri?authorId=55684826800,provisional_query_candidates
39,16,55841597100,Campbell J.W.,4,4,2,4,0,,3.0,false,85074516215|85122657325|85169779109|105019538928,https://www.scopus.com/authid/detail.uri?authorId=55841597100,provisional_query_candidates
40,16,56063862300,Sattler S.,4,4,4,0,0,,1.033333,false,85019942117|85146833340|85150666256|105036072221,https://www.scopus.com/authid/detail.uri?authorId=56063862300,provisional_query_candidates
