authid,name,total_article_count,total_competition_rank,current_us_count,current_us_competition_rank,unresolved_articles,us_upper_resolution_scenario,total_leader_with_cutoff_ties,local_inbox_pdfs,queue_scopus_ids
55135830500,Gábor Simonovits,7,83,2,74,1,3,true,0,84946492047
56394620600,Kiratli O.S.,7,83,2,74,1,3,true,0,85182157282
6603559510,Turgeon M.,8,53,1,87,1,2,true,0,85192081135
15757402700,Peter John Loewen,8,53,1,87,1,2,true,0,85125126673
35492113000,Thomas Zeitzoff,9,38,1,87,1,2,true,0,85020188394
37065230200,Markus Wagner,14,5,1,87,1,2,true,0,85193819898
55746145800,Stijn Baert,9,38,1,87,1,2,true,0,84908021986
57226018577,Christopher Hoy,8,53,1,87,1,2,true,0,85119058426
7003772257,Thomas Hinz,7,83,0,101,1,1,true,0,85156243509
17345075500,Katrin Auspurg,8,53,0,101,1,1,true,0,85024131036
17345249500,Martin Abraham,9,38,0,101,1,1,true,0,84872322437
57194393515,Ventura T.,7,83,0,101,1,1,true,0,85184683757
57203170141,Niels Bjørn Grund Petersen,15,3,0,101,1,1,true,0,85110788543
12767146800,Douglas L. Kriner,20,2,18,1,0,18,true,0,
7102611306,Christine Horne,14,5,12,3,0,12,true,0,
35725744600,Sarah E. Kreps,11,22,10,6,0,10,true,0,
24474160700,Brian R. Calfano,9,38,9,9,0,9,true,0,
35759060800,Brendan Nyhan,11,22,9,9,0,9,true,0,
7202316609,Aseem Prakash,11,22,8,14,0,8,true,0,
25226021600,Jonathon P. Schuldt,8,53,8,14,0,8,true,0,
49861923700,Ariela Schachter,8,53,8,14,0,8,true,0,
56590030100,Alexander Coppock,9,38,8,14,0,8,true,0,
57952558700,Peter T. McLaughlin,8,53,8,14,0,8,true,0,
14034772300,Jason Reifler,11,22,7,24,0,7,true,0,
24168107200,Yusaku Horiuchi,13,10,7,24,0,7,true,0,
25654666600,Cheryl Boudreau,7,83,7,24,0,7,true,0,
35183713000,Efrén O. Pérez,9,38,7,24,0,7,true,0,
35233806200,Scott A. MacKenzie,7,83,7,24,0,7,true,0,
36713939500,Paul Musgrave,7,83,7,24,0,7,true,0,
55454468300,Tatishe M. Nteta,7,83,7,24,0,7,true,0,
57220041117,Ondřej Rosendorf,8,53,7,24,0,7,true,0,
14832646600,Robin E. Gearing,11,22,5,43,0,5,true,0,
56329786700,Joshua Robison,7,83,5,43,0,5,true,0,
6602533817,Jonas Tallberg,6,115,4,51,0,4,false,0,
24339564700,David A. Steinberg,8,53,4,51,0,4,true,0,
55672957800,Michal Smetana,8,53,4,51,0,4,true,0,
56534303500,Anthony Kevins,8,53,4,51,0,4,true,0,
6602698051,Giuliano Bonoli,6,115,3,64,0,3,false,0,
7006126634,André Blais,6,115,3,64,0,3,false,0,
57188590875,Muradova L.,7,83,3,64,0,3,true,0,
23010864600,Samuel Whitt,12,16,2,74,0,2,true,0,
42161868700,Atte Oksanen,7,83,2,74,0,2,true,0,
55917294300,Atsushi Tago,8,53,2,74,0,2,true,0,
56196951600,Omer Yair,8,53,2,74,0,2,true,0,
56448439600,Selim Erdem Aytaç,11,22,2,74,0,2,true,0,
56868425000,Kai Quek,7,83,2,74,0,2,true,0,
57205672554,Seiki Tanaka,10,33,2,74,0,2,true,0,
57206937457,Azusa Uji,7,83,2,74,0,2,true,0,
22836955000,Jeroen van der Waal,7,83,1,87,0,1,true,0,
35309171200,Martin Bækgaard,15,3,1,87,0,1,true,0,
35861891200,Matthew S. Winters,12,16,1,87,0,1,true,0,
56924059300,Xiaojun Li,7,83,1,87,0,1,true,0,
57189074265,Honorata Mazepus,9,38,1,87,0,1,true,0,
57190806413,Lukas Rudolph,11,22,1,87,0,1,true,0,
36196237600,Balcells L.,7,83,0,101,0,0,true,0,
56063862300,Sebastian Sattler,8,53,0,101,0,0,true,0,
57196390820,Robin Devroe,9,38,0,101,0,0,true,0,
57200795890,Niloufer A. Siddiqui,8,53,0,101,0,0,true,0,
57226745341,Li Shao,8,53,0,101,0,0,true,0,
57264879500,Senhu Wang,7,83,0,101,0,0,true,0,
