metric,candidate,comparator,change,authid,name,current_all_count,current_all_rank,current_all_position,current_us_count,current_us_rank,current_us_position,current_pool_count,current_pool_rank,current_pool_position,current_unclear,current_unreviewed,current_us_upper,full_all_count,full_all_rank,full_all_position,full_us_count,full_us_rank,full_us_position,full_pool_count,full_pool_rank,full_pool_position,full_unclear,full_unreviewed,full_us_upper,narrow_all_count,narrow_all_rank,narrow_all_position,narrow_us_count,narrow_us_rank,narrow_us_position,narrow_pool_count,narrow_pool_rank,narrow_pool_position,narrow_unclear,narrow_unreviewed,narrow_us_upper
us,full,current,enter,8967284700,Barry C.L.,4,292,318,,,,2,69,82,,,,7,83,86,3,68,72,3,63,67,4,0,7,7,83,86,3,68,72,3,63,67,4,0,7
us,full,current,enter,16023197400,Wojcieszak M.,5,166,185,,,,4,47,57,,,,7,83,87,5,42,47,5,42,47,2,0,7,7,83,87,5,42,47,5,42,47,2,0,7
us,full,current,enter,16029149900,Niederdeppe J.,6,96,108,,,,5,40,46,,,,10,33,33,7,21,25,7,21,25,3,0,10,10,33,33,7,21,25,7,21,25,3,0,10
us,full,current,enter,16066752900,Eyal Aharoni,6,96,109,,,,2,69,78,,,,7,83,88,2,88,92,2,74,78,5,0,7,7,83,88,2,88,92,2,74,78,5,0,7
us,full,current,enter,16244346100,Caillier J.G.,4,292,333,,,,1,85,97,,,,7,83,89,2,88,93,2,74,79,5,0,7,7,83,89,2,88,93,2,74,79,5,0,7
us,full,current,enter,16308652800,Dino P. Christenson,6,96,110,,,,,,,,,,5,195,216,4,53,65,,,,1,0,5,5,195,216,4,53,65,,,,1,0,5
us,full,current,enter,25958739200,Kelly M. Socia,6,96,113,,,,,,,,,,6,115,133,5,42,51,,,,1,0,6,6,115,133,5,42,51,,,,1,0,6
us,full,current,enter,26532782600,Kennedy E.H.,4,292,348,,,,,,,,,,4,340,422,4,53,67,,,,0,0,4,4,340,420,4,53,67,,,,0,0,4
us,full,current,enter,35173613400,Christopher T. Robertson,6,96,114,,,,,,,,,,6,115,136,5,42,52,,,,1,0,6,6,115,136,5,42,52,,,,1,0,6
us,full,current,enter,35727190200,Nagler R.H.,6,96,116,,,,4,47,55,,,,7,83,94,4,53,62,4,51,60,3,0,7,7,83,94,4,53,62,4,51,60,3,0,7
us,full,current,enter,36667039200,Peterson T.M.,4,292,370,,,,,,,,,,4,340,446,3,68,83,,,,0,1,4,4,340,444,3,68,83,,,,0,1,4
us,full,current,enter,55177991700,Haeder S.F.,5,166,215,,,,,,,,,,5,195,258,3,68,80,,,,0,2,5,5,195,258,3,68,80,,,,0,2,5
us,full,current,enter,55319086800,Cabrera L.Y.,4,292,394,,,,2,69,83,,,,8,53,64,4,53,56,4,51,54,4,0,8,8,53,64,4,53,56,4,51,54,4,0,8
us,full,current,enter,55451282400,Morgan J.,4,292,397,,,,,,,,,,4,340,471,3,68,84,,,,0,1,4,4,340,469,3,68,84,,,,0,1,4
us,full,current,enter,56180409500,Banda K.K.,6,96,136,,,,2,69,79,,,,8,53,69,4,53,59,4,51,57,4,0,8,8,53,69,4,53,59,4,51,57,4,0,8
us,full,current,enter,56394620600,Kiratli O.S.,6,96,139,,,,2,69,80,,,,7,83,105,2,88,96,2,74,82,1,0,3,7,83,105,2,88,96,2,74,82,1,0,3
us,full,current,enter,56421548300,McDowell D.,6,96,140,,,,,,,,,,6,115,165,3,68,79,,,,0,2,5,6,115,165,3,68,79,,,,0,2,5
us,full,current,enter,57188590875,Muradova L.,5,166,253,,,,2,69,81,,,,7,83,108,3,68,74,3,63,69,0,0,3,7,83,108,3,68,74,3,63,69,0,0,3
us,full,current,enter,57190437914,Janet Z. Yang,2,984,1726,,,,2,69,84,,,,14,5,9,5,42,42,5,42,42,9,0,14,13,9,15,5,42,42,5,42,42,8,0,13
us,full,current,enter,57191708105,Chu H.,1,2190,5232,,,,,,,,,,6,115,176,2,88,100,,,,1,3,6,6,115,176,2,88,100,,,,1,3,6
us,full,current,enter,57193195374,Kingsland J.T.,6,96,150,,,,4,47,56,,,,7,83,110,5,42,49,5,42,49,2,0,7,7,83,110,5,42,49,5,42,49,2,0,7
us,full,current,enter,57203104288,Palm R.,4,292,479,,,,,,,,,,4,340,566,3,68,85,,,,1,0,4,4,340,562,3,68,85,,,,1,0,4
us,full,current,enter,57205763513,Clayton K.,5,166,275,,,,,,,,,,5,195,323,3,68,81,,,,0,2,5,5,195,323,3,68,81,,,,0,2,5
us,full,current,enter,58247812700,Barron N.T.,4,292,506,,,,,,,,,,4,340,597,3,68,86,,,,0,1,4,4,340,592,3,68,86,,,,0,1,4
us,full,current,enter,60596595800,Nguyen Q.,4,292,512,,,,,,,,,,4,340,603,3,68,87,,,,0,1,4,4,340,598,3,68,87,,,,0,1,4
us,full,current,leave,7003772257,Thomas Hinz,7,67,68,0,84,84,0,98,111,1,0,1,7,83,85,0,496,512,0,101,117,1,0,1,7,83,85,0,492,508,0,101,117,1,0,1
us,full,current,leave,7006059165,Maykel Verkuyten,12,12,12,0,84,85,0,98,100,3,0,3,13,10,11,0,496,497,0,101,102,3,0,3,13,9,10,0,492,493,0,101,102,3,0,3
us,full,current,leave,15757402700,Peter John Loewen,8,47,47,1,73,73,1,85,92,1,0,2,8,53,56,1,149,158,1,86,95,1,0,2,8,53,56,1,149,158,1,86,95,1,0,2
us,full,current,leave,17345075500,Katrin Auspurg,8,47,48,0,84,86,0,98,105,1,0,1,8,53,57,0,496,504,0,101,109,1,0,1,8,53,57,0,492,500,0,101,109,1,0,1
us,full,current,leave,17345249500,Martin Abraham,9,34,34,0,84,87,0,98,102,1,0,1,9,38,38,0,496,500,0,101,105,1,0,1,9,38,38,0,492,496,0,101,105,1,0,1
us,full,current,leave,22836955000,Jeroen van der Waal,7,67,70,1,73,74,1,85,94,0,0,1,7,83,90,1,149,162,1,86,99,0,0,1,7,83,90,1,149,162,1,86,99,0,0,1
us,full,current,leave,23982874600,Ulf Liebe,9,34,35,0,84,88,0,98,103,2,0,2,9,38,39,0,496,501,0,101,106,2,0,2,9,38,39,0,492,497,0,101,106,2,0,2
us,full,current,leave,25224644900,Rasmus Tue Pedersen,14,4,5,1,73,75,1,85,85,5,0,6,14,5,7,1,149,150,1,86,87,5,0,6,14,5,7,1,149,150,1,86,87,5,0,6
us,full,current,leave,35309171200,Martin Bækgaard,14,4,6,1,73,76,1,85,86,0,0,1,15,3,3,1,149,149,1,86,86,0,0,1,15,3,3,1,149,149,1,86,86,0,0,1
us,full,current,leave,35492113000,Thomas Zeitzoff,9,34,38,1,73,77,1,85,89,1,0,2,9,38,42,1,149,154,1,86,91,1,0,2,9,38,42,1,149,154,1,86,91,1,0,2
us,full,current,leave,35861891200,Matthew S. Winters,11,19,26,1,73,78,1,85,87,0,0,1,12,16,17,1,149,152,1,86,89,0,0,1,12,16,17,1,149,152,1,86,89,0,0,1
us,full,current,leave,37065230200,Markus Wagner,13,7,11,0,84,89,0,98,99,1,0,1,14,5,8,1,149,151,1,86,88,1,0,2,14,5,8,1,149,151,1,86,88,1,0,2
us,full,current,leave,50861069700,Sveinung Arnesen,8,47,52,0,84,90,0,98,106,2,0,2,8,53,63,0,496,506,0,101,111,2,0,2,8,53,63,0,492,502,0,101,111,2,0,2
us,full,current,leave,55091186500,Yoshikuni Ono,12,12,16,0,84,91,0,98,101,2,0,2,12,16,19,0,496,498,0,101,103,2,0,2,12,16,19,0,492,494,0,101,103,2,0,2
us,full,current,leave,55746145800,Stijn Baert,9,34,41,1,73,79,1,85,90,1,0,2,9,38,45,1,149,155,1,86,92,1,0,2,9,38,45,1,149,155,1,86,92,1,0,2
us,full,current,leave,56063862300,Sebastian Sattler,7,67,85,0,84,92,0,98,112,0,0,0,8,53,68,0,496,507,0,101,112,0,0,0,8,53,68,0,492,503,0,101,112,0,0,0
us,full,current,leave,56196951600,Omer Yair,7,67,86,0,84,93,0,98,113,1,0,1,8,53,70,1,149,159,1,86,96,1,0,2,8,53,70,1,149,159,1,86,96,1,0,2
us,full,current,leave,56689411500,Mette Kjærgaard Thomsen,8,47,57,0,84,94,0,98,107,3,0,3,8,53,73,0,496,508,0,101,113,3,0,3,8,53,73,0,492,504,0,101,113,3,0,3
us,full,current,leave,56924059300,Xiaojun Li,7,67,90,1,73,80,1,85,95,0,0,1,7,83,107,1,149,163,1,86,100,0,0,1,7,83,107,1,149,163,1,86,100,0,0,1
us,full,current,leave,57189074265,Honorata Mazepus,9,34,45,1,73,81,1,85,91,0,0,1,9,38,49,1,149,156,1,86,93,0,0,1,9,38,49,1,149,156,1,86,93,0,0,1
us,full,current,leave,57190806413,Lukas Rudolph,11,19,27,1,73,82,1,85,88,0,0,1,11,22,31,1,149,153,1,86,90,0,0,1,11,22,31,1,149,153,1,86,90,0,0,1
us,full,current,leave,57191360465,Jinfeng Zhang,9,34,46,0,84,95,0,98,104,2,0,2,9,38,50,0,496,502,0,101,107,2,0,2,9,38,50,0,492,498,0,101,107,2,0,2
us,full,current,leave,57196390820,Robin Devroe,8,47,58,0,84,96,0,98,108,0,0,0,9,38,51,0,496,503,0,101,108,0,0,0,9,38,51,0,492,499,0,101,108,0,0,0
us,full,current,leave,57200795890,Niloufer A. Siddiqui,8,47,59,0,84,97,0,98,109,0,0,0,8,53,75,0,496,509,0,101,114,0,0,0,8,53,75,0,492,505,0,101,114,0,0,0
