authid,name,current_published_count,current_raw_frozen_byline_count,current_raw_harmonized_byline_count,count_difference_from_old_local_filter,count_difference_from_byline_enrichment,total_raw_minus_published
6601987187,Rakner L.,2,2,2,0,0,0
6601992604,Klandermans B.,1,1,1,0,0,0
6601995406,Safdar S.,1,1,1,0,0,0
6602076925,Van Boven L.,1,1,1,0,0,0
6602086370,Arin K.P.,0,1,1,1,0,1
6602090638,Yashar B.M.,0,1,1,1,0,1
6602104017,Crepaz M.M.L.,1,1,1,0,0,0
6602110388,Thomas Bernauer,33,34,34,1,0,1
6602115689,Gohmann S.,1,1,1,0,0,0
6602116185,Patt A.G.,1,1,1,0,0,0
6602116782,Wernstedt K.,1,1,1,0,0,0
6602126505,Rasinski K.A.,1,1,1,0,0,0
6602146413,Hochschild J.,1,1,1,0,0,0
6602165948,Pogarsky G.,1,1,1,0,0,0
6602167774,Bucy E.P.,1,1,1,0,0,0
6602213082,Ginis K.A.M.,1,1,1,0,0,0
6602214882,Culpepper P.D.,5,5,5,0,0,0
6602224225,Nieuwbeerta P.,1,1,1,0,0,0
6602227594,Tsafrir A.,0,1,1,1,0,1
6602228540,Steg L.,1,1,1,0,0,0
6602237699,Overbye E.,1,1,1,0,0,0
6602237931,Riccucci N.M.,2,2,2,0,0,0
6602242326,Wantchekon L.,1,1,1,0,0,0
6602247197,Méon P.G.,1,1,1,0,0,0
6602256518,van der Lippe T.,2,2,2,0,0,0
6602277868,Madrian B.C.,1,1,1,0,0,0
6602281748,Colombatto E.,1,1,1,0,0,0
6602286499,Duch R.,3,3,3,0,0,0
6602294266,Steinmo S.,1,1,1,0,0,0
6602298752,Herne K.,1,1,1,0,0,0
6602318923,Montpetit É.,1,1,1,0,0,0
6602326924,Wibbels E.,3,3,3,0,0,0
6602330678,Eisenstadt T.A.,1,1,1,0,0,0
6602343552,Kaplowitz S.A.,1,1,1,0,0,0
6602353571,Achterberg P.,1,1,1,0,0,0
6602361014,Gennetian L.A.,1,1,1,0,0,0
6602364598,Isernia P.,1,1,1,0,0,0
6602375694,Kaphingst K.A.,1,1,1,0,0,0
6602386277,van der Brug W.,1,1,1,0,0,0
6602398574,Sedelmeier U.,1,1,1,0,0,0
6602405220,Braüninger T.,1,1,1,0,0,0
6602434188,Keiser L.R.,3,3,3,0,0,0
6602442458,Margetts H.,1,1,1,0,0,0
6602454385,Hassenzahl M.,2,2,2,0,0,0
6602455593,Akins S.,1,1,1,0,0,0
6602457647,Winstok Z.,0,1,1,1,0,1
6602459820,Svartdal F.,1,1,1,0,0,0
6602498748,Arriaga R.I.,1,1,1,0,0,0
6602512550,Goodliffe J.,1,1,1,0,0,0
6602513602,Peffley M.,1,2,2,1,0,1
6602515271,Golby J.,1,1,1,0,0,0
6602519450,McComas K.A.,2,2,2,0,0,0
6602522799,Kymlicka W.,2,2,2,0,0,0
6602533817,Jonas Tallberg,6,6,6,0,0,0
6602541788,Torsvik G.,1,1,1,0,0,0
6602572190,Eggett D.,2,2,2,0,0,0
6602581474,Ouellet C.,2,2,2,0,0,0
6602585549,Job O.,1,1,1,0,0,0
6602601724,Puhl R.M.,0,1,1,1,0,1
6602609696,Aassve A.,3,3,3,0,0,0
6602622718,Plutzer E.,1,1,1,0,0,0
6602633375,Dagan H.,1,1,1,0,0,0
6602676810,Hayo B.,1,1,1,0,0,0
6602678629,Frickel S.,1,1,1,0,0,0
6602682833,Tir J.,2,2,2,0,0,0
6602698051,Giuliano Bonoli,6,6,6,0,0,0
6602698835,Doosje B.,1,1,1,0,0,0
6602703767,Serin R.,0,1,1,1,0,1
6602707505,Morss R.E.,1,1,1,0,0,0
6602712238,Pontusson J.,1,1,1,0,0,0
6602714670,Leighley J.,1,1,1,0,0,0
6602720842,Henig J.R.,2,2,2,0,0,0
6602724058,Clay-Warner J.,1,1,1,0,0,0
6602726060,Thurner P.W.,3,3,3,0,0,0
6602738312,Nownes A.J.,2,2,2,0,0,0
6602746736,Png I.P.L.,1,1,1,0,0,0
6602759224,Dotan Y.,1,1,1,0,0,0
6602768172,Singelis T.M.,0,1,1,1,0,1
6602768235,Tillmann P.,0,1,1,1,0,1
6602768917,Padavic I.,1,1,1,0,0,0
6602772925,Voeten E.,1,1,1,0,0,0
6602779216,Koubi V.,2,2,2,0,0,0
6602779290,Grietens H.,1,1,1,0,0,0
6602786086,Einarsen S.,1,1,1,0,0,0
6602790730,Gilens M.,1,1,1,0,0,0
6602791492,Lascher E.L.,1,1,1,0,0,0
6602797557,Kroska A.,1,1,1,0,0,0
6602804263,Desposato S.,1,1,1,0,0,0
6602807672,Luchini S.,1,1,1,0,0,0
6602810672,Berinsky A.J.,2,2,2,0,0,0
6602814637,Solga H.,4,4,4,0,0,0
6602814751,Feiock R.C.,1,1,1,0,0,0
6602823961,Wolman H.,2,2,2,0,0,0
6602835424,Kuipers S.,1,1,1,0,0,0
6602844678,Surakka V.,1,1,1,0,0,0
6602851785,Bordignon M.,1,1,1,0,0,0
6602862372,Gartzke E.,1,1,1,0,0,0
6602867047,Poutvaara P.,1,1,1,0,0,0
6602869160,Scruggs L.,2,2,2,0,0,0
6602880955,Van Beukering P.,0,1,1,1,0,1
6602882351,Frondel M.,1,1,1,0,0,0
6602885829,Gilljam M.,1,1,1,0,0,0
6602885924,Dorussen H.,1,1,1,0,0,0
6602915394,Kostopoulou O.,1,1,1,0,0,0
6602943698,Heyndels B.,1,2,2,1,0,1
6602944403,Jürges H.,1,1,1,0,0,0
6602950323,Kelemen R.D.,1,1,1,0,0,0
6602965752,Ketzenberg M.,1,1,1,0,0,0
6602973003,Çarkoğlu A.,2,2,2,0,0,0
6602973662,Jones-Correa M.,2,2,2,0,0,0
6602977773,Burruss G.W.,2,2,2,0,0,0
6602992135,Pallesen S.,2,2,2,0,0,0
6602997635,Pilet J.B.,2,2,2,0,0,0
6603007430,Beegle K.,1,1,1,0,0,0
6603008447,Maredia M.K.,1,1,1,0,0,0
6603010460,Souchon A.L.,1,1,1,0,0,0
6603024008,Aars J.,1,1,1,0,0,0
6603030334,de Vreese C.,3,3,3,0,0,0
6603033155,Garand J.C.,1,1,1,0,0,0
6603036406,Lachapelle E.,3,3,3,0,0,0
6603045072,Bimber B.,1,1,1,0,0,0
6603055733,Georgellis Y.,1,1,1,0,0,0
6603057403,Schroedel J.R.,1,1,1,0,0,0
6603066002,Jasinskaja-Lahti I.,2,2,2,0,0,0
6603080074,Kleinmann M.,1,1,1,0,0,0
6603080096,Feaver P.,1,1,1,0,0,0
6603080945,Hirschberger G.,1,1,1,0,0,0
6603111730,Dur R.,1,1,1,0,0,0
6603160014,Knetsch J.,1,1,1,0,0,0
6603161570,Sanz-Menéndez L.,1,1,1,0,0,0
6603166806,McGinn L.K.,0,1,1,1,0,1
6603173368,Dallimer M.,1,1,1,0,0,0
6603191591,Udry C.,1,1,1,0,0,0
6603192739,Melegaro A.,1,1,1,0,0,0
6603195672,Gaudiano B.A.,1,1,1,0,0,0
6603220192,Rafnsdóttir G.L.,1,1,1,0,0,0
6603224629,Roose H.,2,2,2,0,0,0
6603228850,Schildkraut D.J.,1,1,1,0,0,0
6603236651,Vanberg G.,1,1,1,0,0,0
6603243901,van de Werfhorst H.G.,1,1,1,0,0,0
6603248215,Berejikian J.D.,2,2,2,0,0,0
6603248892,Vandenbroucke F.,3,3,3,0,0,0
6603249045,Tsfati Y.,3,3,3,0,0,0
6603254608,Bearce D.,1,1,1,0,0,0
6603256174,Gerson K.,1,1,1,0,0,0
6603269101,Curlin F.A.,2,2,2,0,0,0
6603271342,Göritz A.S.,1,1,1,0,0,0
6603304927,Montinola G.R.,1,1,1,0,0,0
6603321701,Wetzels P.,1,1,1,0,0,0
6603328004,Bäckstrand K.,1,1,1,0,0,0
6603339500,Genicot G.,1,1,1,0,0,0
6603349293,Valentino N.A.,2,3,3,1,0,1
6603367954,Tranter B.,1,1,1,0,0,0
6603380656,Keefer P.,2,2,2,0,0,0
6603386933,Latner J.D.,0,2,2,2,0,2
6603390069,Mezzetti C.,1,1,1,0,0,0
6603394178,Seufert S.,1,1,1,0,0,0
6603395174,Vatn A.,2,2,2,0,0,0
6603397388,Bicchieri C.,2,2,2,0,0,0
6603399834,Materstvedt L.J.,1,1,1,0,0,0
6603408557,Unni J.,1,1,1,0,0,0
6603416225,Blom-Hansen J.,2,2,2,0,0,0
6603417201,Torres-Gil F.,1,1,1,0,0,0
6603441559,Steenbergen M.,1,1,1,0,0,0
6603456463,Hansford T.G.,3,3,3,0,0,0
6603464879,Bischoff I.,2,2,2,0,0,0
6603485631,Lemay E.P.,0,1,1,1,0,1
6603488908,Blüher S.,1,1,1,0,0,0
6603491874,Beersma B.,1,1,1,0,0,0
6603497784,van Harreveld F.,1,1,1,0,0,0
6603499435,Guadagno R.E.,0,1,1,1,0,1
6603506044,Shenhav S.R.,1,1,1,0,0,0
6603518807,Zürn M.,1,1,1,0,0,0
6603559510,Turgeon M.,5,5,5,0,0,0
6603567230,Schwappach D.,4,4,4,0,0,0
6603568354,Mathios A.D.,1,1,1,0,0,0
6603568491,Hrywna M.,2,2,2,0,0,0
6603569863,Gleditsch K.S.,1,1,1,0,0,0
6603589015,Hooghe M.,1,1,1,0,0,0
6603601441,Baccaro L.,1,1,1,0,0,0
6603608397,Levi-Faur D.,1,1,1,0,0,0
6603615888,Schickler E.,1,1,1,0,0,0
6603631549,Stasavage D.,2,2,2,0,0,0
6603635576,Lundén J.,1,1,1,0,0,0
6603644273,Walgrave S.,3,3,3,0,0,0
6603654351,Scheve K.,3,3,3,0,0,0
6603657163,Splansky G.L.,1,1,1,0,0,0
6603660517,Pistaferri L.,1,1,1,0,0,0
6603696960,James N. Druckman,11,11,11,0,0,0
6603703173,Dodoo F.N.A.,3,3,3,0,0,0
6603717694,Yount K.M.,2,2,2,0,0,0
6603719172,Leblang D.,1,1,1,0,0,0
6603724445,Diekmann A.,2,2,2,0,0,0
6603734280,Colbert A.E.,1,1,1,0,0,0
6603740312,Slepian M.J.,1,1,1,0,0,0
6603749047,Huddy L.,1,1,1,0,0,0
6603752472,Babalola C.P.,0,1,1,1,0,1
6603792748,Guiso L.,1,1,1,0,0,0
6603797962,Vandenberghe C.,1,1,1,0,0,0
6603798767,Wlezien C.,1,1,1,0,0,0
6603806968,Jappelli T.,1,1,1,0,0,0
6603809525,Haider-Markel D.P.,3,3,3,0,0,0
6603818576,Escolar M.,2,2,2,0,0,0
6603825267,van Witteloostuijn A.,1,1,1,0,0,0
6603825610,Stoker G.,1,1,1,0,0,0
6603843843,Erdfelder E.,1,1,1,0,0,0
6603868767,Elder L.,1,1,1,0,0,0
6603872042,Gabriel O.W.,1,1,1,0,0,0
6603875874,Skarlicki D.P.,0,1,1,1,0,1
6603877124,Candia Carnevali M.,0,1,1,1,0,1
6603880096,Peersman G.,1,1,1,0,0,0
6603880119,Gidengil E.,1,1,1,0,0,0
6603894344,Beetsma R.,3,3,3,0,0,0
6603904733,Västfjäll D.,0,1,1,1,0,1
6603923667,Kiser E.,2,2,2,0,0,0
6603929495,Kochan T.,1,1,1,0,0,0
6603950425,Colpin H.,2,2,2,0,0,0
6603951747,Schwarzinger M.,2,2,2,0,0,0
6603980504,DeKeseredy W.S.,1,1,1,0,0,0
6604046496,Henkens K.,1,1,1,0,0,0
6604047405,Hagedoorn M.,1,1,1,0,0,0
6604054547,Contractor N.,1,1,1,0,0,0
6604085679,Correll S.J.,2,2,2,0,0,0
6604086045,Rahn W.M.,1,1,1,0,0,0
6701315673,Mutz D.C.,5,5,5,0,0,0
6701341905,Lewis-Beck M.S.,1,1,1,0,0,0
6701349350,Maltzman F.,1,1,1,0,0,0
6701369361,Bolino M.C.,2,2,2,0,0,0
6701370173,Gerdes V.,1,1,1,0,0,0
6701385118,Delnevo C.D.,5,5,5,0,0,0
6701402310,Spiess C.K.,2,2,2,0,0,0
6701453325,Fieldhouse E.,1,1,1,0,0,0
6701458790,Einsiedel E.,1,1,1,0,0,0
6701458932,Racine E.,3,3,3,0,0,0
6701469520,Goubert L.,1,1,1,0,0,0
6701470867,Markowitz F.E.,2,2,2,0,0,0
6701473564,Mondak J.J.,0,1,1,1,0,1
6701480135,Soroka S.,4,4,4,0,0,0
6701490596,Gawande K.,1,1,1,0,0,0
6701490746,Cope K.L.,2,2,2,0,0,0
6701493888,DiLillo D.,1,1,1,0,0,0
6701498798,Rogelberg S.G.,1,1,1,0,0,0
6701504647,Huth P.,1,1,1,0,0,0
6701506076,Penner A.M.,1,1,1,0,0,0
6701519199,Wrede M.,1,1,1,0,0,0
6701534396,Pidgeon N.,1,1,1,0,0,0
6701542136,Kleck G.,1,1,1,0,0,0
6701546298,Kardes F.R.,1,1,1,0,0,0
6701587876,Windschitl P.D.,1,1,1,0,0,0
6701594355,Fuest C.,1,1,1,0,0,0
6701610679,Carels R.A.,1,1,1,0,0,0
6701611912,Gingerich D.W.,1,1,1,0,0,0
6701633133,Oldmixon E.,2,2,2,0,0,0
6701643263,Spilimbergo A.,0,1,1,1,0,1
6701659407,Mosley L.,2,2,2,0,0,0
6701666319,Ohtake F.,1,1,1,0,0,0
6701677837,Goerke L.,1,1,1,0,0,0
6701681965,Hix S.,1,1,1,0,0,0
6701688615,Milyo J.D.,1,1,1,0,0,0
6701706851,Sandal G.M.,1,1,1,0,0,0
6701717204,Mazor K.M.,1,1,1,0,0,0
6701721673,Gillmor D.,1,1,1,0,0,0
6701728500,Dahlgren P.M.,1,1,1,0,0,0
6701741731,DeLamater J.,1,1,1,0,0,0
6701744250,Halpern-Felsher B.,1,1,1,0,0,0
6701747473,Crespin M.H.,1,1,1,0,0,0
6701751591,Magarian G.P.,1,1,1,0,0,0
6701752331,Teisl M.F.,1,1,1,0,0,0
6701756411,Dubas J.S.,1,1,1,0,0,0
6701776355,Matsueda R.,1,1,1,0,0,0
6701777677,Manusov V.,1,1,1,0,0,0
6701782892,Brosnan S.F.,1,1,1,0,0,0
6701785096,Layman G.C.,2,2,2,0,0,0
6701806415,Winne P.H.,1,1,1,0,0,0
6701810256,Van Den Akker O.B.A.,0,1,1,1,0,1
6701818225,Folta K.M.,1,1,1,0,0,0
6701818465,Ritov I.,1,1,1,0,0,0
6701845502,Bègue L.,1,1,1,0,0,0
6701854564,Caldeira G.A.,1,1,1,0,0,0
6701863954,Strack M.,1,1,1,0,0,0
6701914131,Hornik R.,1,1,1,0,0,0
6701915757,Bosnjak M.,1,1,1,0,0,0
6701921446,Weingart L.R.,1,1,1,0,0,0
