variant,comparator,scope,change,authid,name,new_count,old_count,new_rank,old_rank,new_display_position,old_display_position
original_query,current_published,top100_with_cutoff_ties,exit,54785521400,Utych S.M.,6,6,115,96,150,125
original_query,current_published,top100_with_cutoff_ties,exit,54939771600,Ayoub P.M.,6,6,115,96,151,126
original_query,current_published,top100_with_cutoff_ties,exit,55364149100,Newman B.J.,5,6,195,96,264,127
original_query,current_published,top100_with_cutoff_ties,exit,55498802400,Werner A.,6,6,115,96,153,128
original_query,current_published,top100_with_cutoff_ties,exit,55604227800,Porumbescu G.,6,6,115,96,154,129
original_query,current_published,top100_with_cutoff_ties,exit,55735410100,Schlipphak B.,6,6,115,96,155,130
original_query,current_published,top100_with_cutoff_ties,exit,55738296700,Huang H.,6,6,115,96,156,131
original_query,current_published,top100_with_cutoff_ties,exit,55787363800,Liu B.,6,6,115,96,157,132
original_query,current_published,top100_with_cutoff_ties,exit,55955809300,Petzold K.,6,6,115,96,159,133
original_query,current_published,top100_with_cutoff_ties,exit,56056445200,Lim S.,6,6,115,96,160,134
original_query,current_published,top100_with_cutoff_ties,exit,56168369200,Thau M.,6,6,115,96,162,135
original_query,current_published,top100_with_cutoff_ties,exit,56256131200,Kantorowicz J.,6,6,115,96,163,137
original_query,current_published,top100_with_cutoff_ties,exit,56281778100,Yeh Y.Y.,6,6,115,96,164,138
original_query,current_published,top100_with_cutoff_ties,exit,56421548300,McDowell D.,6,6,115,96,165,140
original_query,current_published,top100_with_cutoff_ties,exit,56432557600,Fossati F.,6,6,115,96,166,141
original_query,current_published,top100_with_cutoff_ties,exit,56487997200,Wratil C.,6,6,115,96,167,142
original_query,current_published,top100_with_cutoff_ties,exit,56523595800,Liu M.,6,6,115,96,168,143
original_query,current_published,top100_with_cutoff_ties,exit,56554105500,Gummer T.,6,6,115,96,169,144
original_query,current_published,top100_with_cutoff_ties,exit,56964283000,Anson I.G.,6,6,115,96,170,145
original_query,current_published,top100_with_cutoff_ties,exit,57052662100,Höhne J.K.,6,6,115,96,171,146
original_query,current_published,top100_with_cutoff_ties,exit,57059866500,George B.,6,6,115,96,172,147
original_query,current_published,top100_with_cutoff_ties,exit,57188561529,Armaly M.T.,6,6,115,96,173,148
original_query,current_published,top100_with_cutoff_ties,exit,57190216222,Igarashi A.,6,6,115,96,175,149
original_query,current_published,top100_with_cutoff_ties,exit,57196403479,McDonald J.,6,6,115,96,178,152
original_query,current_published,top100_with_cutoff_ties,exit,57200226249,Hailey C.A.,6,6,115,96,179,153
original_query,current_published,top100_with_cutoff_ties,exit,57201432992,Williamson S.,6,6,115,96,180,155
original_query,current_published,top100_with_cutoff_ties,exit,57202349863,Lindgren E.,6,6,115,96,181,156
original_query,current_published,top100_with_cutoff_ties,exit,57203538647,Liu D.,6,6,115,96,182,157
original_query,current_published,top100_with_cutoff_ties,exit,57203980082,Stone A.R.,6,6,115,96,183,158
original_query,current_published,top100_with_cutoff_ties,exit,57205664253,Hart C.G.,6,6,115,96,185,159
original_query,current_published,top100_with_cutoff_ties,exit,57211437829,Sievert M.,6,6,115,96,186,160
original_query,current_published,top100_with_cutoff_ties,exit,57213579538,Malhotra N.,6,6,115,96,187,161
original_query,current_published,top100_with_cutoff_ties,exit,57216736131,Myrick R.,6,6,115,96,188,162
original_query,current_published,top100_with_cutoff_ties,exit,57217532548,Schwartz J.A.,6,6,115,96,189,163
original_query,current_published,top100_with_cutoff_ties,exit,57218118345,Lee S.,6,6,115,96,190,164
original_query,current_published,top100_with_cutoff_ties,exit,57219597903,Viskupič F.,6,6,115,96,192,165
original_query,current_raw,exact_top100,entrant,6603030334,de Vreese C.,7,3,83,520,84,537
original_query,current_raw,exact_top100,entrant,6603559510,Turgeon M.,8,5,53,168,53,173
original_query,current_raw,exact_top100,entrant,7801629573,Gollust S.E.,8,6,53,100,55,105
original_query,current_raw,exact_top100,entrant,8967284700,Barry C.L.,7,5,83,168,86,182
original_query,current_raw,exact_top100,entrant,16023197400,Wojcieszak M.,7,5,83,168,87,189
original_query,current_raw,exact_top100,entrant,16066752900,Aharoni E.,7,6,83,100,88,112
original_query,current_raw,exact_top100,entrant,16244346100,Caillier J.G.,7,4,83,298,89,338
original_query,current_raw,exact_top100,entrant,25422239000,Pagliaro S.,10,2,33,997,34,1296
original_query,current_raw,exact_top100,entrant,26036187400,Lecheler S.,8,5,53,168,60,201
original_query,current_raw,exact_top100,entrant,36196237600,Balcells L.,7,6,83,100,96,119
original_query,current_raw,exact_top100,entrant,55319086800,Cabrera L.Y.,8,6,53,100,64,129
original_query,current_raw,exact_top100,entrant,56180409500,Banda K.K.,8,6,53,100,69,139
original_query,current_raw,exact_top100,entrant,57190437914,Yang J.,14,2,5,997,9,1774
original_query,current_raw,exact_top100,exit,6601956224,John Gastil,6,6,115,100,117,100
original_query,current_raw,exact_top100,exit,24554597700,Geoffrey P. R. Wallace,6,7,115,70,132,75
original_query,current_raw,exact_top100,exit,55454468300,Tatishe M. Nteta,7,7,83,70,101,84
original_query,current_raw,exact_top100,exit,55461249300,Craig M. Burnett,7,7,83,70,102,85
original_query,current_raw,exact_top100,exit,55636964600,Long Doan,7,7,83,70,103,87
original_query,current_raw,exact_top100,exit,56329786700,Joshua Robison,7,7,83,70,104,89
original_query,current_raw,exact_top100,exit,56868425000,Kai Quek,7,7,83,70,106,91
original_query,current_raw,exact_top100,exit,56924059300,Xiaojun Li,7,7,83,70,107,92
original_query,current_raw,exact_top100,exit,57188880644,Lauren Sukin,7,7,83,70,109,93
original_query,current_raw,exact_top100,exit,57194393515,Ventura T.,7,7,83,70,111,95
original_query,current_raw,exact_top100,exit,57206937457,Azusa Uji,7,7,83,70,112,97
original_query,current_raw,exact_top100,exit,57220203816,Kaylyn Jackson Schiff,7,7,83,70,113,98
original_query,current_raw,exact_top100,exit,57264879500,Senhu Wang,7,7,83,70,114,99
original_query,current_raw,top100_with_cutoff_ties,entrant,6603030334,de Vreese C.,7,3,83,520,84,537
original_query,current_raw,top100_with_cutoff_ties,entrant,6603559510,Turgeon M.,8,5,53,168,53,173
original_query,current_raw,top100_with_cutoff_ties,entrant,8967284700,Barry C.L.,7,5,83,168,86,182
original_query,current_raw,top100_with_cutoff_ties,entrant,16023197400,Wojcieszak M.,7,5,83,168,87,189
original_query,current_raw,top100_with_cutoff_ties,entrant,16244346100,Caillier J.G.,7,4,83,298,89,338
original_query,current_raw,top100_with_cutoff_ties,entrant,25422239000,Pagliaro S.,10,2,33,997,34,1296
