authid,name,n_articles,n_us_articles,n_us_explicit,n_us_inferred,n_non_us,n_unclear,n_unreviewed,n_not_applicable,n_us_upper,n_reviewed,annotation_coverage,resolved_geography_coverage,n_geography_conflicts,n_mixed_country_us_articles,article_ids,scope,count_interpretation,us_competition_rank,us_display_position,all_competition_rank
57203528227,Jonathan A. Chu,11,8,8,0,1,2,0,0,10,11,1.0,0.818182,0,4,105012359420|85052060424|85103382393|85107869445|85122139505|85124121558|85124170048|85127696366|85170289998|85176924618|85206830858,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",14,16,19
35759060800,Brendan Nyhan,10,8,5,3,2,0,0,0,8,10,1.0,1.0,0,2,105005845952|105015521246|80052366764|84898753023|84921984369|85047903545|85049075124|85106950513|85114350257|85182629341,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",14,17,29
55603014300,Tobias Heinrich,9,8,6,2,0,1,0,0,9,9,1.0,0.888889,0,1,85029279527|85042721612|85078201451|85109308295|85109571277|85133919585|85188096695|85193946140|85200455835,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",14,18,34
56556884300,Ryan Brutger,9,8,6,2,0,1,0,0,9,9,1.0,0.888889,0,2,85046533072|85096694153|85129014294|85129300276|85130898035|85131738044|85198952844|85216353783|85218245112,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",14,19,34
49861923700,Ariela Schachter,8,8,7,1,0,0,0,0,8,8,1.0,1.0,0,0,84989249038|85053749730|85060845910|85106197207|85140292533|85174683248|85175416392|85204053529,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",14,20,47
57952558700,Peter T. McLaughlin,8,8,2,6,0,0,0,0,8,8,1.0,1.0,0,0,105001651117|105005085445|105019586030|105021982298|85141125749|85159180192|85178047069|85219694487,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",14,21,47
7003787305,Gregg G. Van Ryzin,13,7,5,2,1,4,0,1,11,13,1.0,0.692308,0,1,84878955277|84884806119|84908554750|84918780367|84963994831|85014596724|85038355714|85067581830|85087950052|85089815116|85096111198|85104756695|85112316568,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,22,7
24168107200,Yusaku Horiuchi,13,7,4,3,6,0,0,0,7,13,1.0,1.0,0,0,105030588739|105042398599|85039933179|85052643404|85055870318|85062479527|85067962902|85115188399|85123926675|85125415127|85136473193|85145327725|85145409036,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,23,7
14034772300,Jason Reifler,11,7,3,4,3,0,0,1,7,11,1.0,1.0,0,2,105008461820|105027197362|84891494021|84921984369|85106697357|85124140550|85147720720|85162185399|85170631568|85174056404|85213442851,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,24,19
38061940400,Justin T. Pickett,10,7,4,3,0,2,0,1,9,10,1.0,0.8,0,0,105001077495|105005805574|85017479115|85030544249|85060884767|85091202562|85092499524|85099391391|85190319537|85217932803,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,25,29
35183713000,Efrén O. Pérez,9,7,2,5,2,0,0,0,7,9,1.0,1.0,0,0,105029060592|84890418441|84955616709|85021736860|85066605513|85127783017|85139216162|85148945547|85162677133,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,26,34
55612017400,Erik Peterson,9,7,1,6,0,2,0,0,9,9,1.0,0.777778,0,0,105001820017|105003759877|85053665784|85064805724|85099984460|85118939204|85125920680|85205529418|85216671878,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,27,34
56611317200,John V. Kane,9,7,2,5,0,1,0,1,8,9,1.0,0.888889,0,0,85033714347|85051013258|85061188236|85067402720|85076495848|85159594856|85180219290|85185575879|85205118689,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,28,34
56590030100,Alexander Coppock,8,7,3,4,0,0,0,1,7,8,1.0,1.0,0,0,85020522370|85041537528|85044846087|85057578602|85060859151|85125280963|85125774527|85141907351,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,29,47
57220041117,Ondřej Rosendorf,8,7,7,0,1,0,0,0,7,8,1.0,1.0,0,4,105012748003|105029692176|105034913587|85130612333|85138434242|85150347085|85172783788|85201275085,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,30,47
25226021600,Jonathon P. Schuldt,7,7,7,0,0,0,0,0,7,7,1.0,1.0,0,1,105000414839|84922814039|84960092229|84961187162|85007439389|85019749197|85167522555,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,31,67
25654666600,Cheryl Boudreau,7,7,5,2,0,0,0,0,7,7,1.0,1.0,0,0,105040346734|84891492083|85047666016|85050296213|85101015159|85174000856|85202761631,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,32,67
35233806200,Scott A. MacKenzie,7,7,5,2,0,0,0,0,7,7,1.0,1.0,0,0,105040346734|84891492083|85047666016|85050296213|85101015159|85174000856|85202761631,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,33,67
36713939500,Paul Musgrave,7,7,6,1,0,0,0,0,7,7,1.0,1.0,0,0,105000221636|105011632356|105025976814|105039310829|85127296015|85145200849|85168004718,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,34,67
55454468300,Tatishe M. Nteta,7,7,1,6,0,0,0,0,7,7,1.0,1.0,0,0,105026699333|84981249322|85011497605|85047444290|85081592258|85123914954|85130062680,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",22,35,67
23479932300,Erik Lin-Greenberg,7,6,6,0,0,1,0,0,7,7,1.0,0.857143,0,1,85066842117|85100751141|85106419798|85131596715|85144972223|85190436333|85208237881,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",36,36,67
