variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
narrower_query,6359,2652,55919932400,Claessens L.,1,1,0,0,1,0,9283,84862646897,https://www.scopus.com/authid/detail.uri?authorId=55919932400,unvalidated_query_candidate_articles
narrower_query,6360,2652,55920578200,Iyer N.,1,0,1,0,0,1,9283,84955245459,https://www.scopus.com/authid/detail.uri?authorId=55920578200,unvalidated_query_candidate_articles
narrower_query,6361,2652,55921041200,Capitano J.,1,1,0,0,1,0,9283,85135462555,https://www.scopus.com/authid/detail.uri?authorId=55921041200,unvalidated_query_candidate_articles
narrower_query,6362,2652,55921919700,Turp M.J.,1,0,1,0,0,1,9283,85096835102,https://www.scopus.com/authid/detail.uri?authorId=55921919700,unvalidated_query_candidate_articles
narrower_query,6363,2652,55922649000,Sanchez Salgado R.,1,0,1,0,0,1,9283,105008443350,https://www.scopus.com/authid/detail.uri?authorId=55922649000,unvalidated_query_candidate_articles
narrower_query,6364,2652,55923861300,Huffman B.L.,1,0,1,0,0,1,9283,84887325184,https://www.scopus.com/authid/detail.uri?authorId=55923861300,unvalidated_query_candidate_articles
narrower_query,6365,2652,55925271800,Sabat I.E.,1,0,1,0,0,1,9283,85124516176,https://www.scopus.com/authid/detail.uri?authorId=55925271800,unvalidated_query_candidate_articles
narrower_query,6366,2652,55926374200,Revkin M.R.,1,0,1,0,0,1,9283,85111409684,https://www.scopus.com/authid/detail.uri?authorId=55926374200,unvalidated_query_candidate_articles
narrower_query,6367,2652,55927033500,Schroeder P.A.,1,1,0,0,1,0,9283,84926633759,https://www.scopus.com/authid/detail.uri?authorId=55927033500,unvalidated_query_candidate_articles
narrower_query,6368,2652,55927823600,Abad-Merino S.,1,1,0,0,1,0,9283,84887550841,https://www.scopus.com/authid/detail.uri?authorId=55927823600,unvalidated_query_candidate_articles
narrower_query,6369,2652,55928035800,Cheston R.,1,0,1,0,0,1,9283,85054137181,https://www.scopus.com/authid/detail.uri?authorId=55928035800,unvalidated_query_candidate_articles
narrower_query,6370,2652,55928988300,Müller P.,1,1,0,0,1,0,9283,105022871687,https://www.scopus.com/authid/detail.uri?authorId=55928988300,unvalidated_query_candidate_articles
narrower_query,6371,2652,55929101500,Yamawaki N.,1,0,1,0,0,1,9283,85209904852,https://www.scopus.com/authid/detail.uri?authorId=55929101500,unvalidated_query_candidate_articles
narrower_query,6372,2652,55929116800,Ladner K.,1,0,1,0,0,1,9283,84908514129,https://www.scopus.com/authid/detail.uri?authorId=55929116800,unvalidated_query_candidate_articles
narrower_query,6373,2652,55929409300,Zhang H.,1,0,1,0,0,1,9283,85138468538,https://www.scopus.com/authid/detail.uri?authorId=55929409300,unvalidated_query_candidate_articles
narrower_query,6374,2652,55929758200,Steel A.L.,1,1,0,0,1,0,9283,85125106134,https://www.scopus.com/authid/detail.uri?authorId=55929758200,unvalidated_query_candidate_articles
narrower_query,6375,2652,55930898700,Chen D.,1,0,1,0,0,1,9283,85082114477,https://www.scopus.com/authid/detail.uri?authorId=55930898700,unvalidated_query_candidate_articles
narrower_query,6376,2652,55932769300,Raineri N.,1,0,1,0,0,1,9283,105039799595,https://www.scopus.com/authid/detail.uri?authorId=55932769300,unvalidated_query_candidate_articles
narrower_query,6377,2652,55932775200,Martin P.,1,0,1,0,0,1,9283,105010589501,https://www.scopus.com/authid/detail.uri?authorId=55932775200,unvalidated_query_candidate_articles
narrower_query,6378,2652,55932786100,Bruderer Enzler H.,1,0,1,0,0,1,9283,85084071067,https://www.scopus.com/authid/detail.uri?authorId=55932786100,unvalidated_query_candidate_articles
narrower_query,6379,2652,55933713800,Chiappe D.,1,1,0,0,1,0,9283,85004081531,https://www.scopus.com/authid/detail.uri?authorId=55933713800,unvalidated_query_candidate_articles
narrower_query,6380,2652,55934131000,Crowder-Meyer M.,1,1,0,0,1,0,9283,85150354278,https://www.scopus.com/authid/detail.uri?authorId=55934131000,unvalidated_query_candidate_articles
narrower_query,6381,2652,55934952200,Harteveld E.,1,1,0,0,1,0,9283,85075334741,https://www.scopus.com/authid/detail.uri?authorId=55934952200,unvalidated_query_candidate_articles
narrower_query,6382,2652,55935732100,Lown P.,1,0,1,0,0,1,9283,85073919604,https://www.scopus.com/authid/detail.uri?authorId=55935732100,unvalidated_query_candidate_articles
narrower_query,6383,2652,55935863400,Shelby B.,1,0,1,0,0,1,9283,79959379342,https://www.scopus.com/authid/detail.uri?authorId=55935863400,unvalidated_query_candidate_articles
narrower_query,6384,2652,55937081500,Rönnerstrand B.,1,0,1,0,0,1,9283,85040164050,https://www.scopus.com/authid/detail.uri?authorId=55937081500,unvalidated_query_candidate_articles
narrower_query,6385,2652,55937358600,Jones R.,1,0,1,0,0,1,9283,84959905263,https://www.scopus.com/authid/detail.uri?authorId=55937358600,unvalidated_query_candidate_articles
narrower_query,6386,2652,55938324300,Lanoszka A.,1,0,1,0,0,1,9283,85189699546,https://www.scopus.com/authid/detail.uri?authorId=55938324300,unvalidated_query_candidate_articles
narrower_query,6387,2652,55939937300,Postma-Nilsenova M.,1,0,1,0,0,1,9283,85049953328,https://www.scopus.com/authid/detail.uri?authorId=55939937300,unvalidated_query_candidate_articles
