metric,candidate,comparator,change,authid,name,current_all_count,current_all_rank,current_all_position,current_us_count,current_us_rank,current_us_position,current_pool_count,current_pool_rank,current_pool_position,current_unclear,current_unreviewed,current_us_upper,full_all_count,full_all_rank,full_all_position,full_us_count,full_us_rank,full_us_position,full_pool_count,full_pool_rank,full_pool_position,full_unclear,full_unreviewed,full_us_upper,narrow_all_count,narrow_all_rank,narrow_all_position,narrow_us_count,narrow_us_rank,narrow_us_position,narrow_pool_count,narrow_pool_rank,narrow_pool_position,narrow_unclear,narrow_unreviewed,narrow_us_upper
us,narrow,current,enter,57205763513,Clayton K.,5,166,275,,,,,,,,,,5,195,323,3,69,81,,,,0,2,5,5,195,323,3,69,81,,,,0,2,5
us,narrow,current,enter,58247812700,Barron N.T.,4,292,506,,,,,,,,,,4,340,597,3,69,86,,,,0,1,4,4,340,592,3,69,86,,,,0,1,4
us,narrow,current,enter,60596595800,Nguyen Q.,4,292,512,,,,,,,,,,4,340,603,3,69,87,,,,0,1,4,4,340,598,3,69,87,,,,0,1,4
us,narrow,current,leave,7003772257,Thomas Hinz,7,67,68,0,84,84,0,99,112,1,0,1,7,83,85,0,510,526,0,101,117,1,0,1,7,83,85,0,506,522,0,101,117,1,0,1
us,narrow,current,leave,7006059165,Maykel Verkuyten,12,12,12,0,84,85,0,99,101,3,0,3,13,10,11,0,510,511,0,101,102,3,0,3,13,9,10,0,506,507,0,101,102,3,0,3
us,narrow,current,leave,15757402700,Peter John Loewen,8,47,47,1,73,73,1,85,92,1,0,2,8,53,56,1,151,160,1,87,96,1,0,2,8,53,56,1,151,160,1,87,96,1,0,2
us,narrow,current,leave,17345075500,Katrin Auspurg,8,47,48,0,84,86,0,99,106,1,0,1,8,53,57,0,510,518,0,101,109,1,0,1,8,53,57,0,506,514,0,101,109,1,0,1
us,narrow,current,leave,17345249500,Martin Abraham,9,34,34,0,84,87,0,99,103,1,0,1,9,38,38,0,510,514,0,101,105,1,0,1,9,38,38,0,506,510,0,101,105,1,0,1
us,narrow,current,leave,22836955000,Jeroen van der Waal,7,67,70,1,73,74,1,85,94,0,0,1,7,83,90,1,151,163,1,87,99,0,0,1,7,83,90,1,151,163,1,87,99,0,0,1
us,narrow,current,leave,23982874600,Ulf Liebe,9,34,35,0,84,88,0,99,104,2,0,2,9,38,39,0,510,515,0,101,106,2,0,2,9,38,39,0,506,511,0,101,106,2,0,2
us,narrow,current,leave,25224644900,Rasmus Tue Pedersen,14,4,5,1,73,75,1,85,85,5,0,6,14,5,7,1,151,152,1,87,88,5,0,6,14,5,7,1,151,152,1,87,88,5,0,6
us,narrow,current,leave,35309171200,Martin Bækgaard,14,4,6,1,73,76,1,85,86,0,0,1,15,3,3,1,151,151,1,87,87,0,0,1,15,3,3,1,151,151,1,87,87,0,0,1
us,narrow,current,leave,35492113000,Thomas Zeitzoff,9,34,38,1,73,77,1,85,89,1,0,2,9,38,42,1,151,156,1,87,92,1,0,2,9,38,42,1,151,156,1,87,92,1,0,2
us,narrow,current,leave,35861891200,Matthew S. Winters,11,19,26,1,73,78,1,85,87,0,0,1,12,16,17,1,151,154,1,87,90,0,0,1,12,16,17,1,151,154,1,87,90,0,0,1
us,narrow,current,leave,37065230200,Markus Wagner,13,7,11,0,84,89,0,99,100,1,0,1,14,5,8,1,151,153,1,87,89,1,0,2,14,5,8,1,151,153,1,87,89,1,0,2
us,narrow,current,leave,50861069700,Sveinung Arnesen,8,47,52,0,84,90,0,99,107,2,0,2,8,53,63,0,510,520,0,101,111,2,0,2,8,53,63,0,506,516,0,101,111,2,0,2
us,narrow,current,leave,55091186500,Yoshikuni Ono,12,12,16,0,84,91,0,99,102,2,0,2,12,16,19,0,510,512,0,101,103,2,0,2,12,16,19,0,506,508,0,101,103,2,0,2
us,narrow,current,leave,55746145800,Stijn Baert,9,34,41,1,73,79,1,85,90,1,0,2,9,38,45,1,151,157,1,87,93,1,0,2,9,38,45,1,151,157,1,87,93,1,0,2
us,narrow,current,leave,56063862300,Sebastian Sattler,7,67,85,0,84,92,0,99,113,0,0,0,8,53,68,0,510,521,0,101,112,0,0,0,8,53,68,0,506,517,0,101,112,0,0,0
us,narrow,current,leave,56689411500,Mette Kjærgaard Thomsen,8,47,57,0,84,94,0,99,108,3,0,3,8,53,73,0,510,522,0,101,113,3,0,3,8,53,73,0,506,518,0,101,113,3,0,3
us,narrow,current,leave,56924059300,Xiaojun Li,7,67,90,1,73,80,1,85,96,0,0,1,7,83,107,1,151,164,1,87,100,0,0,1,7,83,107,1,151,164,1,87,100,0,0,1
us,narrow,current,leave,57189074265,Honorata Mazepus,9,34,45,1,73,81,1,85,91,0,0,1,9,38,49,1,151,158,1,87,94,0,0,1,9,38,49,1,151,158,1,87,94,0,0,1
us,narrow,current,leave,57190806413,Lukas Rudolph,11,19,27,1,73,82,1,85,88,0,0,1,11,22,31,1,151,155,1,87,91,0,0,1,11,22,31,1,151,155,1,87,91,0,0,1
us,narrow,current,leave,57191360465,Jinfeng Zhang,9,34,46,0,84,95,0,99,105,2,0,2,9,38,50,0,510,516,0,101,107,2,0,2,9,38,50,0,506,512,0,101,107,2,0,2
us,narrow,current,leave,57196390820,Robin Devroe,8,47,58,0,84,96,0,99,109,0,0,0,9,38,51,0,510,517,0,101,108,0,0,0,9,38,51,0,506,513,0,101,108,0,0,0
us,narrow,current,leave,57200795890,Niloufer A. Siddiqui,8,47,59,0,84,97,0,99,110,0,0,0,8,53,75,0,510,523,0,101,114,0,0,0,8,53,75,0,506,519,0,101,114,0,0,0
us,narrow,current,leave,57203170141,Niels Bjørn Grund Petersen,15,3,3,0,84,98,0,99,99,1,0,1,15,3,4,0,510,510,0,101,101,1,0,1,15,3,4,0,506,506,0,101,101,1,0,1
us,narrow,current,leave,57226018577,Christopher Hoy,8,47,64,1,73,83,1,85,93,1,0,2,8,53,80,1,151,162,1,87,98,1,0,2,8,53,80,1,151,162,1,87,98,1,0,2
us,narrow,current,leave,57226745341,Li Shao,8,47,65,0,84,99,0,99,111,0,0,0,8,53,81,0,510,524,0,101,115,0,0,0,8,53,81,0,506,520,0,101,115,0,0,0
us,narrow,current,leave,57264879500,Senhu Wang,7,67,95,0,84,100,0,99,114,0,0,0,7,83,114,0,510,529,0,101,120,0,0,0,7,83,114,0,506,525,0,101,120,0,0,0
