metric,candidate,comparator,change,authid,name,current_all_count,current_all_rank,current_all_position,current_us_count,current_us_rank,current_us_position,current_pool_count,current_pool_rank,current_pool_position,current_unclear,current_unreviewed,current_us_upper,full_all_count,full_all_rank,full_all_position,full_us_count,full_us_rank,full_us_position,full_pool_count,full_pool_rank,full_pool_position,full_unclear,full_unreviewed,full_us_upper,narrow_all_count,narrow_all_rank,narrow_all_position,narrow_us_count,narrow_us_rank,narrow_us_position,narrow_pool_count,narrow_pool_rank,narrow_pool_position,narrow_unclear,narrow_unreviewed,narrow_us_upper
all,full,current,leave,57264879500,Senhu Wang,7,67,95,0,84,100,0,99,114,0,0,0,7,83,114,0,510,529,0,101,120,0,0,0,7,83,114,0,506,525,0,101,120,0,0,0
all,narrow,current,enter,6603030334,Claes H. de Vreese,3,513,530,,,,0,99,119,,,,7,83,84,0,510,525,0,101,116,7,0,7,7,83,84,0,506,521,0,101,116,7,0,7
all,narrow,current,enter,6603559510,Mathieu Turgeon,5,166,171,,,,0,99,117,,,,8,53,53,1,151,159,1,87,95,1,0,2,8,53,53,1,151,159,1,87,95,1,0,2
all,narrow,current,enter,7801629573,Sarah E. Gollust,6,96,101,,,,4,48,55,,,,8,53,55,5,43,46,5,43,46,3,0,8,8,53,55,5,43,46,5,43,46,3,0,8
all,narrow,current,enter,8967284700,Colleen L. Barry,4,292,318,,,,3,58,69,,,,7,83,86,4,53,62,4,51,60,3,0,7,7,83,86,4,53,62,4,51,60,3,0,7
all,narrow,current,enter,16023197400,Magdalena Wojcieszak,5,166,185,,,,4,48,57,,,,7,83,87,5,43,48,5,43,48,2,0,7,7,83,87,5,43,48,5,43,48,2,0,7
all,narrow,current,enter,16029149900,Jeff Niederdeppe,6,96,108,,,,6,34,41,,,,10,33,33,8,14,17,8,14,17,2,0,10,10,33,33,8,14,17,8,14,17,2,0,10
all,narrow,current,enter,16066752900,Eyal Aharoni,6,96,109,,,,2,70,79,,,,7,83,88,2,88,93,2,74,79,5,0,7,7,83,88,2,88,93,2,74,79,5,0,7
all,narrow,current,enter,16244346100,James Gerard Caillier,4,292,333,,,,1,85,98,,,,7,83,89,2,88,94,2,74,80,5,0,7,7,83,89,2,88,94,2,74,80,5,0,7
all,narrow,current,enter,25422239000,Stefano Pagliaro,2,984,1271,,,,0,99,120,,,,10,33,34,0,510,513,0,101,104,8,0,8,10,33,34,0,506,509,0,101,104,8,0,8
all,narrow,current,enter,26036187400,Sophie Lecheler,5,166,197,,,,0,99,118,,,,8,53,60,0,510,519,0,101,110,6,0,6,8,53,60,0,506,515,0,101,110,6,0,6
all,narrow,current,enter,35727190200,Rebekah H. Nagler,6,96,116,,,,4,48,56,,,,7,83,94,4,53,63,4,51,61,3,0,7,7,83,94,4,53,63,4,51,61,3,0,7
all,narrow,current,enter,36196237600,Laia Balcells,6,96,117,,,,0,99,115,,,,7,83,96,0,510,527,0,101,118,0,0,0,7,83,96,0,506,523,0,101,118,0,0,0
all,narrow,current,enter,55319086800,Laura Y. Cabrera,4,292,394,,,,2,70,83,,,,8,53,64,4,53,56,4,51,54,4,0,8,8,53,64,4,53,56,4,51,54,4,0,8
all,narrow,current,enter,56180409500,Kevin K. Banda,6,96,136,,,,2,70,80,,,,8,53,69,4,53,59,4,51,57,4,0,8,8,53,69,4,53,59,4,51,57,4,0,8
all,narrow,current,enter,57190437914,Janet Z. Yang,2,984,1726,,,,2,70,84,,,,14,5,9,5,43,43,5,43,43,9,0,14,13,9,15,5,43,43,5,43,43,8,0,13
all,narrow,current,enter,57201338729,Eric Merkley,6,96,154,,,,1,85,97,,,,8,53,76,1,151,161,1,87,97,2,0,3,8,53,76,1,151,161,1,87,97,2,0,3
all,narrow,current,leave,6601956224,John Gastil,6,96,96,4,46,46,4,48,53,2,0,6,6,115,117,4,53,64,4,51,62,2,0,6,6,115,117,4,53,64,4,51,62,2,0,6
all,narrow,current,leave,6602533817,Jonas Tallberg,6,96,97,4,46,47,4,48,54,0,0,4,6,115,118,4,53,65,4,51,63,0,0,4,6,115,118,4,53,65,4,51,63,0,0,4
all,narrow,current,leave,6602698051,Giuliano Bonoli,6,96,98,3,53,53,3,58,67,0,0,3,6,115,119,3,69,76,3,64,71,0,0,3,6,115,119,3,69,76,3,64,71,0,0,3
all,narrow,current,leave,7006126634,André Blais,6,96,99,3,53,54,3,58,68,0,0,3,6,115,121,3,69,77,3,64,72,0,0,3,6,115,121,3,69,77,3,64,72,0,0,3
all,narrow,current,leave,7102332636,Oliver James,6,96,100,2,64,64,2,70,78,2,0,4,6,115,122,2,88,100,2,74,86,2,0,4,6,115,122,2,88,100,2,74,86,2,0,4
all,narrow,current,leave,24554597700,Geoffrey P. R. Wallace,7,67,72,4,46,49,4,48,52,1,0,5,6,115,132,3,69,78,3,64,73,1,0,4,6,115,132,3,69,78,3,64,73,1,0,4
all,narrow,current,leave,55454468300,Tatishe M. Nteta,7,67,81,7,19,29,7,21,33,0,0,7,7,83,101,7,24,35,7,24,35,0,0,7,7,83,101,7,24,35,7,24,35,0,0,7
all,narrow,current,leave,55461249300,Craig M. Burnett,7,67,82,6,32,35,6,34,38,1,0,7,7,83,102,6,36,40,6,36,40,1,0,7,7,83,102,6,36,40,6,36,40,1,0,7
all,narrow,current,leave,55636964600,Long Doan,7,67,84,6,32,37,6,34,39,1,0,7,7,83,103,6,36,41,6,36,41,1,0,7,7,83,103,6,36,41,6,36,41,1,0,7
all,narrow,current,leave,56329786700,Joshua Robison,7,67,87,5,40,42,5,42,45,0,0,5,7,83,104,5,43,49,5,43,49,0,0,5,7,83,104,5,43,49,5,43,49,0,0,5
all,narrow,current,leave,56868425000,Kai Quek,7,67,89,2,64,70,2,70,76,0,0,2,7,83,106,2,88,98,2,74,84,0,0,2,7,83,106,2,88,98,2,74,84,0,0,2
all,narrow,current,leave,56924059300,Xiaojun Li,7,67,90,1,73,80,1,85,96,0,0,1,7,83,107,1,151,164,1,87,100,0,0,1,7,83,107,1,151,164,1,87,100,0,0,1
all,narrow,current,leave,57188880644,Lauren Sukin,7,67,91,3,53,62,3,58,66,1,0,4,7,83,109,3,69,75,3,64,70,1,0,4,7,83,109,3,69,75,3,64,70,1,0,4
all,narrow,current,leave,57206937457,Azusa Uji,7,67,93,2,64,72,2,70,77,0,0,2,7,83,112,2,88,99,2,74,85,0,0,2,7,83,112,2,88,99,2,74,85,0,0,2
all,narrow,current,leave,57220203816,Kaylyn Jackson Schiff,7,67,94,5,40,45,5,42,46,2,0,7,7,83,113,5,43,50,5,43,50,2,0,7,7,83,113,5,43,50,5,43,50,2,0,7
all,narrow,current,leave,57264879500,Senhu Wang,7,67,95,0,84,100,0,99,114,0,0,0,7,83,114,0,510,529,0,101,120,0,0,0,7,83,114,0,506,525,0,101,120,0,0,0
pool,full,current,enter,6603559510,Mathieu Turgeon,5,166,171,,,,0,99,117,,,,8,53,53,1,151,159,1,87,95,1,0,2,8,53,53,1,151,159,1,87,95,1,0,2
pool,full,current,leave,57203170141,Niels Bjørn Grund Petersen,15,3,3,0,84,98,0,99,99,1,0,1,15,3,4,0,510,510,0,101,101,1,0,1,15,3,4,0,506,506,0,101,101,1,0,1
pool,narrow,current,enter,6603559510,Mathieu Turgeon,5,166,171,,,,0,99,117,,,,8,53,53,1,151,159,1,87,95,1,0,2,8,53,53,1,151,159,1,87,95,1,0,2
pool,narrow,current,leave,57203170141,Niels Bjørn Grund Petersen,15,3,3,0,84,98,0,99,99,1,0,1,15,3,4,0,510,510,0,101,101,1,0,1,15,3,4,0,506,506,0,101,101,1,0,1
us,full,current,enter,7402685635,Carey J.,4,292,307,,,,,,,,,,4,340,368,3,69,82,,,,0,0,3,4,340,367,3,69,82,,,,0,0,3
us,full,current,enter,7406604498,Johnson M.K.,4,292,311,,,,,,,,,,4,340,372,4,53,67,,,,0,0,4,4,340,371,4,53,67,,,,0,0,4
us,full,current,enter,7801629573,Sarah E. Gollust,6,96,101,,,,4,48,55,,,,8,53,55,5,43,46,5,43,46,3,0,8,8,53,55,5,43,46,5,43,46,3,0,8
us,full,current,enter,8967284700,Colleen L. Barry,4,292,318,,,,3,58,69,,,,7,83,86,4,53,62,4,51,60,3,0,7,7,83,86,4,53,62,4,51,60,3,0,7
us,full,current,enter,16023197400,Magdalena Wojcieszak,5,166,185,,,,4,48,57,,,,7,83,87,5,43,48,5,43,48,2,0,7,7,83,87,5,43,48,5,43,48,2,0,7
us,full,current,enter,16029149900,Jeff Niederdeppe,6,96,108,,,,6,34,41,,,,10,33,33,8,14,17,8,14,17,2,0,10,10,33,33,8,14,17,8,14,17,2,0,10
us,full,current,enter,16066752900,Eyal Aharoni,6,96,109,,,,2,70,79,,,,7,83,88,2,88,93,2,74,79,5,0,7,7,83,88,2,88,93,2,74,79,5,0,7
us,full,current,enter,16244346100,James Gerard Caillier,4,292,333,,,,1,85,98,,,,7,83,89,2,88,94,2,74,80,5,0,7,7,83,89,2,88,94,2,74,80,5,0,7
us,full,current,enter,16308652800,Dino P. Christenson,6,96,110,,,,,,,,,,5,195,216,4,53,66,,,,1,0,5,5,195,216,4,53,66,,,,1,0,5
us,full,current,enter,25958739200,Kelly M. Socia,6,96,113,,,,,,,,,,6,115,133,5,43,51,,,,1,0,6,6,115,133,5,43,51,,,,1,0,6
us,full,current,enter,26532782600,Kennedy E.H.,4,292,348,,,,,,,,,,4,340,422,4,53,68,,,,0,0,4,4,340,420,4,53,68,,,,0,0,4
us,full,current,enter,35173613400,Christopher T. Robertson,6,96,114,,,,,,,,,,6,115,136,5,43,52,,,,1,0,6,6,115,136,5,43,52,,,,1,0,6
us,full,current,enter,35727190200,Rebekah H. Nagler,6,96,116,,,,4,48,56,,,,7,83,94,4,53,63,4,51,61,3,0,7,7,83,94,4,53,63,4,51,61,3,0,7
us,full,current,enter,36667039200,Peterson T.M.,4,292,370,,,,,,,,,,4,340,446,3,69,83,,,,0,1,4,4,340,444,3,69,83,,,,0,1,4
us,full,current,enter,55177991700,Haeder S.F.,5,166,215,,,,,,,,,,5,195,258,3,69,80,,,,0,2,5,5,195,258,3,69,80,,,,0,2,5
us,full,current,enter,55319086800,Laura Y. Cabrera,4,292,394,,,,2,70,83,,,,8,53,64,4,53,56,4,51,54,4,0,8,8,53,64,4,53,56,4,51,54,4,0,8
us,full,current,enter,55451282400,Morgan J.,4,292,397,,,,,,,,,,4,340,471,3,69,84,,,,0,1,4,4,340,469,3,69,84,,,,0,1,4
us,full,current,enter,56180409500,Kevin K. Banda,6,96,136,,,,2,70,80,,,,8,53,69,4,53,59,4,51,57,4,0,8,8,53,69,4,53,59,4,51,57,4,0,8
us,full,current,enter,56394620600,Osman Sabri Kiratli,6,96,139,,,,2,70,81,,,,7,83,105,2,88,97,2,74,83,1,0,3,7,83,105,2,88,97,2,74,83,1,0,3
us,full,current,enter,56421548300,McDowell D.,6,96,140,,,,,,,,,,6,115,165,3,69,79,,,,0,2,5,6,115,165,3,69,79,,,,0,2,5
us,full,current,enter,57188590875,Lala Muradova,5,166,253,,,,2,70,82,,,,7,83,108,3,69,74,3,64,69,0,0,3,7,83,108,3,69,74,3,64,69,0,0,3
us,full,current,enter,57190437914,Janet Z. Yang,2,984,1726,,,,2,70,84,,,,14,5,9,5,43,43,5,43,43,9,0,14,13,9,15,5,43,43,5,43,43,8,0,13
us,full,current,enter,57193195374,Justin T. Kingsland,6,96,150,,,,5,42,47,,,,7,83,110,6,36,42,6,36,42,1,0,7,7,83,110,6,36,42,6,36,42,1,0,7
us,full,current,enter,57203104288,Palm R.,4,292,479,,,,,,,,,,4,340,566,3,69,85,,,,1,0,4,4,340,562,3,69,85,,,,1,0,4
us,full,current,enter,57205763513,Clayton K.,5,166,275,,,,,,,,,,5,195,323,3,69,81,,,,0,2,5,5,195,323,3,69,81,,,,0,2,5
us,full,current,enter,58247812700,Barron N.T.,4,292,506,,,,,,,,,,4,340,597,3,69,86,,,,0,1,4,4,340,592,3,69,86,,,,0,1,4
us,full,current,enter,60596595800,Nguyen Q.,4,292,512,,,,,,,,,,4,340,603,3,69,87,,,,0,1,4,4,340,598,3,69,87,,,,0,1,4
us,full,current,leave,7003772257,Thomas Hinz,7,67,68,0,84,84,0,99,112,1,0,1,7,83,85,0,510,526,0,101,117,1,0,1,7,83,85,0,506,522,0,101,117,1,0,1
us,full,current,leave,7006059165,Maykel Verkuyten,12,12,12,0,84,85,0,99,101,3,0,3,13,10,11,0,510,511,0,101,102,3,0,3,13,9,10,0,506,507,0,101,102,3,0,3
us,full,current,leave,15757402700,Peter John Loewen,8,47,47,1,73,73,1,85,92,1,0,2,8,53,56,1,151,160,1,87,96,1,0,2,8,53,56,1,151,160,1,87,96,1,0,2
us,full,current,leave,17345075500,Katrin Auspurg,8,47,48,0,84,86,0,99,106,1,0,1,8,53,57,0,510,518,0,101,109,1,0,1,8,53,57,0,506,514,0,101,109,1,0,1
us,full,current,leave,17345249500,Martin Abraham,9,34,34,0,84,87,0,99,103,1,0,1,9,38,38,0,510,514,0,101,105,1,0,1,9,38,38,0,506,510,0,101,105,1,0,1
us,full,current,leave,22836955000,Jeroen van der Waal,7,67,70,1,73,74,1,85,94,0,0,1,7,83,90,1,151,163,1,87,99,0,0,1,7,83,90,1,151,163,1,87,99,0,0,1
us,full,current,leave,23982874600,Ulf Liebe,9,34,35,0,84,88,0,99,104,2,0,2,9,38,39,0,510,515,0,101,106,2,0,2,9,38,39,0,506,511,0,101,106,2,0,2
us,full,current,leave,25224644900,Rasmus Tue Pedersen,14,4,5,1,73,75,1,85,85,5,0,6,14,5,7,1,151,152,1,87,88,5,0,6,14,5,7,1,151,152,1,87,88,5,0,6
us,full,current,leave,35309171200,Martin Bækgaard,14,4,6,1,73,76,1,85,86,0,0,1,15,3,3,1,151,151,1,87,87,0,0,1,15,3,3,1,151,151,1,87,87,0,0,1
us,full,current,leave,35492113000,Thomas Zeitzoff,9,34,38,1,73,77,1,85,89,1,0,2,9,38,42,1,151,156,1,87,92,1,0,2,9,38,42,1,151,156,1,87,92,1,0,2
us,full,current,leave,35861891200,Matthew S. Winters,11,19,26,1,73,78,1,85,87,0,0,1,12,16,17,1,151,154,1,87,90,0,0,1,12,16,17,1,151,154,1,87,90,0,0,1
us,full,current,leave,37065230200,Markus Wagner,13,7,11,0,84,89,0,99,100,1,0,1,14,5,8,1,151,153,1,87,89,1,0,2,14,5,8,1,151,153,1,87,89,1,0,2
us,full,current,leave,50861069700,Sveinung Arnesen,8,47,52,0,84,90,0,99,107,2,0,2,8,53,63,0,510,520,0,101,111,2,0,2,8,53,63,0,506,516,0,101,111,2,0,2
us,full,current,leave,55091186500,Yoshikuni Ono,12,12,16,0,84,91,0,99,102,2,0,2,12,16,19,0,510,512,0,101,103,2,0,2,12,16,19,0,506,508,0,101,103,2,0,2
us,full,current,leave,55746145800,Stijn Baert,9,34,41,1,73,79,1,85,90,1,0,2,9,38,45,1,151,157,1,87,93,1,0,2,9,38,45,1,151,157,1,87,93,1,0,2
us,full,current,leave,56063862300,Sebastian Sattler,7,67,85,0,84,92,0,99,113,0,0,0,8,53,68,0,510,521,0,101,112,0,0,0,8,53,68,0,506,517,0,101,112,0,0,0
us,full,current,leave,56689411500,Mette Kjærgaard Thomsen,8,47,57,0,84,94,0,99,108,3,0,3,8,53,73,0,510,522,0,101,113,3,0,3,8,53,73,0,506,518,0,101,113,3,0,3
us,full,current,leave,56924059300,Xiaojun Li,7,67,90,1,73,80,1,85,96,0,0,1,7,83,107,1,151,164,1,87,100,0,0,1,7,83,107,1,151,164,1,87,100,0,0,1
us,full,current,leave,57189074265,Honorata Mazepus,9,34,45,1,73,81,1,85,91,0,0,1,9,38,49,1,151,158,1,87,94,0,0,1,9,38,49,1,151,158,1,87,94,0,0,1
us,full,current,leave,57190806413,Lukas Rudolph,11,19,27,1,73,82,1,85,88,0,0,1,11,22,31,1,151,155,1,87,91,0,0,1,11,22,31,1,151,155,1,87,91,0,0,1
us,full,current,leave,57191360465,Jinfeng Zhang,9,34,46,0,84,95,0,99,105,2,0,2,9,38,50,0,510,516,0,101,107,2,0,2,9,38,50,0,506,512,0,101,107,2,0,2
us,full,current,leave,57196390820,Robin Devroe,8,47,58,0,84,96,0,99,109,0,0,0,9,38,51,0,510,517,0,101,108,0,0,0,9,38,51,0,506,513,0,101,108,0,0,0
us,full,current,leave,57200795890,Niloufer A. Siddiqui,8,47,59,0,84,97,0,99,110,0,0,0,8,53,75,0,510,523,0,101,114,0,0,0,8,53,75,0,506,519,0,101,114,0,0,0
us,full,current,leave,57203170141,Niels Bjørn Grund Petersen,15,3,3,0,84,98,0,99,99,1,0,1,15,3,4,0,510,510,0,101,101,1,0,1,15,3,4,0,506,506,0,101,101,1,0,1
us,full,current,leave,57226018577,Christopher Hoy,8,47,64,1,73,83,1,85,93,1,0,2,8,53,80,1,151,162,1,87,98,1,0,2,8,53,80,1,151,162,1,87,98,1,0,2
us,full,current,leave,57226745341,Li Shao,8,47,65,0,84,99,0,99,111,0,0,0,8,53,81,0,510,524,0,101,115,0,0,0,8,53,81,0,506,520,0,101,115,0,0,0
us,full,current,leave,57264879500,Senhu Wang,7,67,95,0,84,100,0,99,114,0,0,0,7,83,114,0,510,529,0,101,120,0,0,0,7,83,114,0,506,525,0,101,120,0,0,0
us,narrow,current,enter,7402685635,Carey J.,4,292,307,,,,,,,,,,4,340,368,3,69,82,,,,0,0,3,4,340,367,3,69,82,,,,0,0,3
us,narrow,current,enter,7406604498,Johnson M.K.,4,292,311,,,,,,,,,,4,340,372,4,53,67,,,,0,0,4,4,340,371,4,53,67,,,,0,0,4
us,narrow,current,enter,7801629573,Sarah E. Gollust,6,96,101,,,,4,48,55,,,,8,53,55,5,43,46,5,43,46,3,0,8,8,53,55,5,43,46,5,43,46,3,0,8
us,narrow,current,enter,8967284700,Colleen L. Barry,4,292,318,,,,3,58,69,,,,7,83,86,4,53,62,4,51,60,3,0,7,7,83,86,4,53,62,4,51,60,3,0,7
us,narrow,current,enter,16023197400,Magdalena Wojcieszak,5,166,185,,,,4,48,57,,,,7,83,87,5,43,48,5,43,48,2,0,7,7,83,87,5,43,48,5,43,48,2,0,7
us,narrow,current,enter,16029149900,Jeff Niederdeppe,6,96,108,,,,6,34,41,,,,10,33,33,8,14,17,8,14,17,2,0,10,10,33,33,8,14,17,8,14,17,2,0,10
us,narrow,current,enter,16066752900,Eyal Aharoni,6,96,109,,,,2,70,79,,,,7,83,88,2,88,93,2,74,79,5,0,7,7,83,88,2,88,93,2,74,79,5,0,7
us,narrow,current,enter,16244346100,James Gerard Caillier,4,292,333,,,,1,85,98,,,,7,83,89,2,88,94,2,74,80,5,0,7,7,83,89,2,88,94,2,74,80,5,0,7
us,narrow,current,enter,16308652800,Dino P. Christenson,6,96,110,,,,,,,,,,5,195,216,4,53,66,,,,1,0,5,5,195,216,4,53,66,,,,1,0,5
us,narrow,current,enter,25958739200,Kelly M. Socia,6,96,113,,,,,,,,,,6,115,133,5,43,51,,,,1,0,6,6,115,133,5,43,51,,,,1,0,6
us,narrow,current,enter,26532782600,Kennedy E.H.,4,292,348,,,,,,,,,,4,340,422,4,53,68,,,,0,0,4,4,340,420,4,53,68,,,,0,0,4
us,narrow,current,enter,35173613400,Christopher T. Robertson,6,96,114,,,,,,,,,,6,115,136,5,43,52,,,,1,0,6,6,115,136,5,43,52,,,,1,0,6
us,narrow,current,enter,35727190200,Rebekah H. Nagler,6,96,116,,,,4,48,56,,,,7,83,94,4,53,63,4,51,61,3,0,7,7,83,94,4,53,63,4,51,61,3,0,7
us,narrow,current,enter,36667039200,Peterson T.M.,4,292,370,,,,,,,,,,4,340,446,3,69,83,,,,0,1,4,4,340,444,3,69,83,,,,0,1,4
us,narrow,current,enter,55177991700,Haeder S.F.,5,166,215,,,,,,,,,,5,195,258,3,69,80,,,,0,2,5,5,195,258,3,69,80,,,,0,2,5
us,narrow,current,enter,55319086800,Laura Y. Cabrera,4,292,394,,,,2,70,83,,,,8,53,64,4,53,56,4,51,54,4,0,8,8,53,64,4,53,56,4,51,54,4,0,8
us,narrow,current,enter,55451282400,Morgan J.,4,292,397,,,,,,,,,,4,340,471,3,69,84,,,,0,1,4,4,340,469,3,69,84,,,,0,1,4
us,narrow,current,enter,56180409500,Kevin K. Banda,6,96,136,,,,2,70,80,,,,8,53,69,4,53,59,4,51,57,4,0,8,8,53,69,4,53,59,4,51,57,4,0,8
us,narrow,current,enter,56394620600,Osman Sabri Kiratli,6,96,139,,,,2,70,81,,,,7,83,105,2,88,97,2,74,83,1,0,3,7,83,105,2,88,97,2,74,83,1,0,3
us,narrow,current,enter,56421548300,McDowell D.,6,96,140,,,,,,,,,,6,115,165,3,69,79,,,,0,2,5,6,115,165,3,69,79,,,,0,2,5
us,narrow,current,enter,57188590875,Lala Muradova,5,166,253,,,,2,70,82,,,,7,83,108,3,69,74,3,64,69,0,0,3,7,83,108,3,69,74,3,64,69,0,0,3
us,narrow,current,enter,57190437914,Janet Z. Yang,2,984,1726,,,,2,70,84,,,,14,5,9,5,43,43,5,43,43,9,0,14,13,9,15,5,43,43,5,43,43,8,0,13
us,narrow,current,enter,57193195374,Justin T. Kingsland,6,96,150,,,,5,42,47,,,,7,83,110,6,36,42,6,36,42,1,0,7,7,83,110,6,36,42,6,36,42,1,0,7
us,narrow,current,enter,57203104288,Palm R.,4,292,479,,,,,,,,,,4,340,566,3,69,85,,,,1,0,4,4,340,562,3,69,85,,,,1,0,4
