scopus_id,title,reviewer_shard
105007228428,Seeing the state in action: Public preferences about and judgments of common police–civilian interactions,root
105009546258,LLM-generated messages can persuade humans on policy issues,root
85084324260,Men’s Overpersistence and the Gender Gap in Science and Mathematics,root
85205594046,Differences in misinformation sharing can lead to politically asymmetric sanctions,participant
85206618776,Psychological Underpinnings of Partisan Bias in Tie Formation on Social Media,participant
85208657819,How and when candidate race affects inferences about ideology and group favoritism,participant
