position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
2383,2190,6603506044,Shenhav S.R.,1,0,0,1,0,,0.25,false,105041671253,https://www.scopus.com/authid/detail.uri?authorId=6603506044,provisional_query_candidates
2384,2190,6603518807,Zürn M.,1,0,0,1,0,,0.2,false,85201483333,https://www.scopus.com/authid/detail.uri?authorId=6603518807,provisional_query_candidates
2385,2190,6603568354,Mathios A.D.,1,0,0,1,0,,0.166667,false,105040678928,https://www.scopus.com/authid/detail.uri?authorId=6603568354,provisional_query_candidates
2386,2190,6603569863,Gleditsch K.,1,0,0,1,0,,0.333333,false,84978085703,https://www.scopus.com/authid/detail.uri?authorId=6603569863,provisional_query_candidates
2387,2190,6603589015,Hooghe M.,1,0,0,1,0,,0.5,false,85215680809,https://www.scopus.com/authid/detail.uri?authorId=6603589015,provisional_query_candidates
2388,2190,6603601441,Baccaro L.,1,0,1,0,0,,0.333333,false,85136198646,https://www.scopus.com/authid/detail.uri?authorId=6603601441,provisional_query_candidates
2389,2190,6603608397,Levi-Faur D.,1,0,0,1,0,,0.333333,false,85205897280,https://www.scopus.com/authid/detail.uri?authorId=6603608397,provisional_query_candidates
2390,2190,6603615888,Schickler E.,1,0,0,1,0,,0.5,false,84897075398,https://www.scopus.com/authid/detail.uri?authorId=6603615888,provisional_query_candidates
2391,2190,6603635576,Lundén J.,1,1,0,1,0,,0.142857,false,85139044767,https://www.scopus.com/authid/detail.uri?authorId=6603635576,provisional_query_candidates
2392,2190,6603657163,Splansky G.L.,1,1,0,1,0,,0.142857,false,85076876768,https://www.scopus.com/authid/detail.uri?authorId=6603657163,provisional_query_candidates
2393,2190,6603660517,Pistaferri L.,1,0,0,1,0,,0.25,false,105015578518,https://www.scopus.com/authid/detail.uri?authorId=6603660517,provisional_query_candidates
2394,2190,6603719172,Leblang D.,1,0,0,1,0,,0.333333,false,85118161056,https://www.scopus.com/authid/detail.uri?authorId=6603719172,provisional_query_candidates
2395,2190,6603734280,Colbert A.E.,1,1,0,1,0,,0.5,false,85130706187,https://www.scopus.com/authid/detail.uri?authorId=6603734280,provisional_query_candidates
2396,2190,6603740312,Slepian M.J.,1,1,0,1,0,,0.166667,false,85168628918,https://www.scopus.com/authid/detail.uri?authorId=6603740312,provisional_query_candidates
2397,2190,6603749047,Huddy L.,1,0,0,1,0,,0.333333,false,85115998698,https://www.scopus.com/authid/detail.uri?authorId=6603749047,provisional_query_candidates
2398,2190,6603792748,Guiso L.,1,1,1,0,0,,0.5,false,105027169753,https://www.scopus.com/authid/detail.uri?authorId=6603792748,provisional_query_candidates
2399,2190,6603797962,Vandenberghe C.,1,1,0,1,0,,0.5,false,85131541880,https://www.scopus.com/authid/detail.uri?authorId=6603797962,provisional_query_candidates
2400,2190,6603798767,Wlezien C.,1,0,0,1,0,,0.5,false,85204445209,https://www.scopus.com/authid/detail.uri?authorId=6603798767,provisional_query_candidates
2401,2190,6603806968,Jappelli T.,1,1,0,1,0,,0.5,false,105027169753,https://www.scopus.com/authid/detail.uri?authorId=6603806968,provisional_query_candidates
2402,2190,6603825267,van Witteloostuijn A.,1,1,0,1,0,,0.25,false,85195829321,https://www.scopus.com/authid/detail.uri?authorId=6603825267,provisional_query_candidates
2403,2190,6603825610,Stoker G.,1,0,0,1,0,,0.5,false,84931411051,https://www.scopus.com/authid/detail.uri?authorId=6603825610,provisional_query_candidates
2404,2190,6603843843,Erdfelder E.,1,0,0,1,0,,0.333333,false,84856843966,https://www.scopus.com/authid/detail.uri?authorId=6603843843,provisional_query_candidates
2405,2190,6603868767,Elder L.,1,0,1,0,0,,0.333333,false,105011313665,https://www.scopus.com/authid/detail.uri?authorId=6603868767,provisional_query_candidates
2406,2190,6603872042,Gabriel O.W.,1,0,1,0,0,,0.5,false,85039972657,https://www.scopus.com/authid/detail.uri?authorId=6603872042,provisional_query_candidates
2407,2190,6603880096,Peersman G.,1,0,1,0,0,,0.5,false,85186557175,https://www.scopus.com/authid/detail.uri?authorId=6603880096,provisional_query_candidates
2408,2190,6603880119,Gidengil E.,1,1,1,0,0,,0.333333,false,85129666036,https://www.scopus.com/authid/detail.uri?authorId=6603880119,provisional_query_candidates
