part,query,snapshot_namespace
named_base,"(TITLE-ABS-KEY(""survey experiment*"" OR ""survey based experiment*"" OR ""survey embedded experiment*"" OR ""experimental survey*"" OR ""vignette experiment*"" OR ""experimental vignette*"" OR ""vignette based experiment*"" OR ""vignette based survey*"" OR ""factorial survey*"" OR ""randomized vignette*"" OR ""randomised vignette*"" OR ""question wording experiment*"" OR ""experiment* embedded in a survey"" OR ""experiment* embedded in an online survey"" OR ""experiment* within a survey"" OR ""experiment* within an online survey"" OR ""experiment* in a survey"" OR ""experiment* in an online survey"")) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027",design_audit_2026_09_10
named_extra,"(TITLE-ABS-KEY(""survey based random* experiment*"")) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027",search_strategy_2026_09_10
guarded_design,"(TITLE-ABS-KEY(""framing experiment*"" OR ""information provision experiment*"" OR ""scenario based experiment*"" OR ""information treatment*"" OR ""informational treatment*"" OR ""information experiment*"" OR ""wording experiment*"" OR ""embedded experiment*"") AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent* OR participant*) AND TITLE-ABS-KEY(random* OR experiment*)) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027",search_strategy_2026_09_10
procedure,"(TITLE-ABS(experiment* OR random* OR manipulat* OR ""control condition*"" OR ""control group*"") AND TITLE-ABS(attitud* OR belief* OR opinion* OR intention* OR judgment* OR judgement*) AND TITLE-ABS-KEY(participant* OR respondent* OR survey* OR questionnaire* OR human*) AND (TITLE-ABS(message* OR text OR textual OR written OR vignette* OR scenario* OR headline* OR prompt*) OR TITLE-ABS((read* OR view* OR expos* OR present* OR receiv* OR shown) W/5 information))) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027",search_strategy_2026_09_10
reading_assignment,"(TITLE-ABS-KEY(""random* assign* to read"" OR ""random* allocat* to read"" OR ""random* select* to read"" OR ""random* to read"") AND TITLE-ABS-KEY(survey* OR questionnaire* OR respondent* OR participant*)) AND SRCTYPE(j) AND DOCTYPE(ar) AND PUBYEAR > 2009 AND PUBYEAR < 2027",search_strategy_2026_09_10
